State Name,Date,Year,Month,Number of Deaths,Percent with drugs specified,Number of Drug Overdose Deaths
Georgia,7/1/2018,2018,July,85380,96,1442
Georgia,8/1/2018,2018,August,85614,95,1444
Georgia,9/1/2018,2018,September,85497,95,1460
Georgia,10/1/2018,2018,October,85382,95,1421
Georgia,11/1/2018,2018,November,85522,95,1397
Georgia,12/1/2018,2018,December,85746,95,1375
Georgia,1/1/2019,2019,January,84724,94,1384
Georgia,2/1/2019,2019,February,84297,94,1383
Georgia,3/1/2019,2019,March,84502,94,1371
Georgia,4/1/2019,2019,April,84719,93,1376
Georgia,5/1/2019,2019,May,84759,94,1380
Georgia,6/1/2019,2019,June,85008,94,1361
Georgia,7/1/2019,2019,July,85434,94,1352
Georgia,8/1/2019,2019,August,85451,94,1381
Georgia,9/1/2019,2019,September,85782,95,1380
Georgia,10/1/2019,2019,October,86007,95,1376
Georgia,11/1/2019,2019,November,86290,95,1381
Georgia,12/1/2019,2019,December,86176,95,1378
Georgia,1/1/2020,2020,January,86352,95,1390
Georgia,2/1/2020,2020,February,87046,96,1430
Georgia,3/1/2020,2020,March,87489,96,1451
Georgia,4/1/2020,2020,April,89012,96,1515
Georgia,5/1/2020,2020,May,90369,96,1564
Georgia,6/1/2020,2020,June,91291,95,1636
Georgia,7/1/2020,2020,July,93509,95,1711
Georgia,8/1/2020,2020,August,96274,96,1719
Georgia,9/1/2020,2020,September,97991,96,1746
Georgia,10/1/2020,2020,October,99407,95,1790
Georgia,11/1/2020,2020,November,100725,95,1822
Georgia,12/1/2020,2020,December,103561,95,1868
Georgia,1/1/2021,2021,January,108560,95,1916
Georgia,2/1/2021,2021,February,110519,95,1983
Georgia,3/1/2021,2021,March,110959,95,2038
Georgia,4/1/2021,2021,April,110331,95,2077
Georgia,5/1/2021,2021,May,109950,95,2134
Georgia,6/1/2021,2021,June,109775,95,2143
Georgia,7/1/2021,2021,July,108504,95,2135
Georgia,8/1/2021,2021,August,109793,95,2177
Georgia,9/1/2021,2021,September,113212,95,2245
Georgia,10/1/2021,2021,October,114168,95,2314
Georgia,11/1/2021,2021,November,114073,95,2357
Georgia,12/1/2021,2021,December,112804,96,2438
Georgia,1/1/2022,2022,January,111573,96,2494
Georgia,2/1/2022,2022,February,111478,96,2492
Georgia,3/1/2022,2022,March,111384,96,2499
Georgia,4/1/2022,2022,April,111055,96,2516
Georgia,5/1/2022,2022,May,110810,96,2499
Georgia,6/1/2022,2022,June,110936,96,2545
Georgia,7/1/2022,2022,July,111126,96,2589
Georgia,8/1/2022,2022,August,108348,96,2609
Georgia,9/1/2022,2022,September,104408,96,2627
Georgia,10/1/2022,2022,October,103411,96,2616
Georgia,11/1/2022,2022,November,103004,96,2655
Georgia,12/1/2022,2022,December,102871,96,2619
Georgia,1/1/2023,2023,January,100306,96,2607
Georgia,2/1/2023,2023,February,98722,96,2602
Georgia,3/1/2023,2023,March,98620,96,2640
Georgia,4/1/2023,2023,April,98694,96,2624
Georgia,5/1/2023,2023,May,98740,96,2637
Georgia,6/1/2023,2023,June,98573,96,2608
Georgia,7/1/2023,2023,July,98001,96,2590
Georgia,8/1/2023,2023,August,97987,96,2581
Georgia,9/1/2023,2023,September,97600,96,2541
Georgia,10/1/2023,2023,October,97048,96,2504
Georgia,11/1/2023,2023,November,96667,96,2467
Georgia,12/1/2023,2023,December,96566,96,2412
Hawaii,1/1/2015,2015,January,11026,83,157
Hawaii,2/1/2015,2015,February,11076,83,161
Hawaii,3/1/2015,2015,March,11073,83,158
Hawaii,4/1/2015,2015,April,11031,85,157
Hawaii,5/1/2015,2015,May,11063,85,163
Hawaii,6/1/2015,2015,June,11100,86,147
Hawaii,7/1/2015,2015,July,11111,86,147
Hawaii,8/1/2015,2015,August,11116,87,149
Hawaii,9/1/2015,2015,September,11154,87,153
Hawaii,10/1/2015,2015,October,11187,86,156
Hawaii,11/1/2015,2015,November,11203,87,165
Hawaii,12/1/2015,2015,December,11208,87,171
Hawaii,1/1/2016,2016,January,11070,87,174
Hawaii,2/1/2016,2016,February,11065,89,181
Hawaii,3/1/2016,2016,March,11067,91,187
Hawaii,4/1/2016,2016,April,11057,91,191
Hawaii,5/1/2016,2016,May,10969,92,190
Hawaii,6/1/2016,2016,June,10901,93,194
Hawaii,7/1/2016,2016,July,10896,92,193
Hawaii,8/1/2016,2016,August,10892,94,203
Hawaii,9/1/2016,2016,September,10824,94,194
Hawaii,10/1/2016,2016,October,10870,95,193
Hawaii,11/1/2016,2016,November,10939,95,195
Hawaii,12/1/2016,2016,December,11041,94,199
Hawaii,1/1/2017,2017,January,11142,93,203
Hawaii,2/1/2017,2017,February,11111,93,190
Hawaii,3/1/2017,2017,March,11136,92,182
Hawaii,4/1/2017,2017,April,11205,92,180
Hawaii,5/1/2017,2017,May,11306,90,190
Hawaii,6/1/2017,2017,June,11380,89,188
Hawaii,7/1/2017,2017,July,11384,89,193
Hawaii,8/1/2017,2017,August,11409,87,188
Hawaii,9/1/2017,2017,September,11426,87,196
Hawaii,10/1/2017,2017,October,11391,87,199
Hawaii,11/1/2017,2017,November,11450,87,201
Hawaii,12/1/2017,2017,December,11508,87,202
Hawaii,1/1/2018,2018,January,11511,88,202
Hawaii,2/1/2018,2018,February,11569,89,213
Hawaii,3/1/2018,2018,March,11650,89,221
Hawaii,4/1/2018,2018,April,11658,90,233
Hawaii,5/1/2018,2018,May,11602,91,216
Hawaii,6/1/2018,2018,June,11624,92,222
Hawaii,7/1/2018,2018,July,11637,93,222
Hawaii,8/1/2018,2018,August,11610,94,217
Hawaii,9/1/2018,2018,September,11632,94,219
Hawaii,10/1/2018,2018,October,11639,94,213
Hawaii,11/1/2018,2018,November,11626,95,214
Hawaii,12/1/2018,2018,December,11543,96,212
Hawaii,1/1/2019,2019,January,11516,97,223
Hawaii,2/1/2019,2019,February,11502,97,225
Hawaii,3/1/2019,2019,March,11541,97,225
Hawaii,4/1/2019,2019,April,11578,96,220
Hawaii,5/1/2019,2019,May,11656,96,219
Hawaii,6/1/2019,2019,June,11668,96,223
Hawaii,7/1/2019,2019,July,11727,97,223
Hawaii,8/1/2019,2019,August,11737,97,232
Hawaii,9/1/2019,2019,September,11762,97,231
Hawaii,10/1/2019,2019,October,11785,98,243
Hawaii,11/1/2019,2019,November,11727,98,241
Hawaii,12/1/2019,2019,December,11742,97,245
Hawaii,1/1/2020,2020,January,11782,97,234
Hawaii,2/1/2020,2020,February,11877,97,227
Hawaii,3/1/2020,2020,March,11789,97,235
Hawaii,4/1/2020,2020,April,11740,98,241
Hawaii,5/1/2020,2020,May,11681,98,259
Hawaii,6/1/2020,2020,June,11665,98,264
Hawaii,7/1/2020,2020,July,11651,98,268
Hawaii,8/1/2020,2020,August,11777,98,264
Hawaii,9/1/2020,2020,September,11893,98,273
Hawaii,10/1/2020,2020,October,11989,98,275
Hawaii,11/1/2020,2020,November,12076,98,277
Hawaii,12/1/2020,2020,December,12070,98,276
Hawaii,1/1/2021,2021,January,11992,98,275
Hawaii,2/1/2021,2021,February,11964,98,287
Hawaii,3/1/2021,2021,March,12018,97,279
Hawaii,4/1/2021,2021,April,12115,97,266
Hawaii,5/1/2021,2021,May,12188,97,262
Hawaii,6/1/2021,2021,June,12194,98,255
Hawaii,7/1/2021,2021,July,12221,98,272
Hawaii,8/1/2021,2021,August,12411,98,268
Hawaii,9/1/2021,2021,September,12617,98,259
Hawaii,10/1/2021,2021,October,12739,98,269
Hawaii,11/1/2021,2021,November,12802,98,269
Hawaii,12/1/2021,2021,December,12880,97,267
Hawaii,1/1/2022,2022,January,13220,97,274
Hawaii,2/1/2022,2022,February,13353,97,275
Hawaii,3/1/2022,2022,March,13299,97,277
Hawaii,4/1/2022,2022,April,13313,97,288
Hawaii,5/1/2022,2022,May,13424,97,285
Hawaii,6/1/2022,2022,June,13523,97,284
Hawaii,7/1/2022,2022,July,13564,97,275
Hawaii,8/1/2022,2022,August,13439,97,282
Hawaii,9/1/2022,2022,September,13241,97,296
Hawaii,10/1/2022,2022,October,13198,96,280
Hawaii,11/1/2022,2022,November,13250,96,281
Hawaii,12/1/2022,2022,December,13316,96,283
Hawaii,1/1/2023,2023,January,13163,96,275
Hawaii,2/1/2023,2023,February,13026,96,269
Hawaii,3/1/2023,2023,March,13196,95,269
Hawaii,4/1/2023,2023,April,13195,95,279
Hawaii,5/1/2023,2023,May,13089,95,290
Hawaii,6/1/2023,2023,June,13033,95,310
Hawaii,7/1/2023,2023,July,13017,95,315
Hawaii,8/1/2023,2023,August,13091,95,333
Hawaii,9/1/2023,2023,September,12988,95,323
Hawaii,10/1/2023,2023,October,12895,96,316
Hawaii,11/1/2023,2023,November,12805,96,310
Hawaii,12/1/2023,2023,December,12724,96,299
Idaho,1/1/2015,2015,January,12667,62,209
Idaho,2/1/2015,2015,February,12669,62,206
Idaho,3/1/2015,2015,March,12693,63,216
Idaho,4/1/2015,2015,April,12753,62,219
Idaho,5/1/2015,2015,May,12849,62,213
Idaho,6/1/2015,2015,June,12831,65,217
Idaho,7/1/2015,2015,July,12917,66,220
Idaho,8/1/2015,2015,August,12836,69,218
Idaho,9/1/2015,2015,September,12782,70,214
Idaho,10/1/2015,2015,October,12892,72,215
Idaho,11/1/2015,2015,November,12905,75,209
Idaho,12/1/2015,2015,December,12987,74,214
Idaho,1/1/2016,2016,January,12912,73,214
Idaho,2/1/2016,2016,February,12987,75,215
Idaho,3/1/2016,2016,March,13036,78,212
Idaho,4/1/2016,2016,April,13093,80,209
Idaho,5/1/2016,2016,May,13131,81,212
Idaho,6/1/2016,2016,June,13221,80,216
Idaho,7/1/2016,2016,July,13228,78,218
Idaho,8/1/2016,2016,August,13283,78,217
Idaho,9/1/2016,2016,September,13227,77,218
Idaho,10/1/2016,2016,October,13205,78,229
Idaho,11/1/2016,2016,November,13190,77,235
Idaho,12/1/2016,2016,December,13297,78,228
Idaho,1/1/2017,2017,January,13479,77,226
Idaho,2/1/2017,2017,February,13530,76,232
Idaho,3/1/2017,2017,March,13601,74,231
Idaho,4/1/2017,2017,April,13619,74,235
Idaho,5/1/2017,2017,May,13588,73,240
Idaho,6/1/2017,2017,June,13580,74,231
Idaho,7/1/2017,2017,July,13621,74,234
Idaho,8/1/2017,2017,August,13656,74,235
Idaho,9/1/2017,2017,September,13769,75,240
Idaho,10/1/2017,2017,October,13864,76,236
Idaho,11/1/2017,2017,November,13936,76,233
Idaho,12/1/2017,2017,December,13908,76,234
Idaho,1/1/2018,2018,January,13900,78,228
Idaho,2/1/2018,2018,February,13928,77,223
Idaho,3/1/2018,2018,March,13964,79,225
Idaho,4/1/2018,2018,April,13984,80,227
Idaho,5/1/2018,2018,May,14022,81,223
Idaho,6/1/2018,2018,June,14049,81,235
Idaho,7/1/2018,2018,July,14110,83,247
Idaho,8/1/2018,2018,August,14121,84,244
Idaho,9/1/2018,2018,September,14171,84,238
Idaho,10/1/2018,2018,October,14133,82,231
Idaho,11/1/2018,2018,November,14148,84,234
Idaho,12/1/2018,2018,December,14168,84,243
Idaho,1/1/2019,2019,January,14052,84,249
Idaho,2/1/2019,2019,February,14142,85,260
Idaho,3/1/2019,2019,March,14142,86,265
Idaho,4/1/2019,2019,April,14186,86,260
Idaho,5/1/2019,2019,May,14238,86,257
Idaho,6/1/2019,2019,June,14301,88,261
Idaho,7/1/2019,2019,July,14220,88,243
Idaho,8/1/2019,2019,August,14245,87,238
Idaho,9/1/2019,2019,September,14221,88,247
Idaho,10/1/2019,2019,October,14269,90,253
Idaho,11/1/2019,2019,November,14297,89,263
Idaho,12/1/2019,2019,December,14338,90,264
Idaho,1/1/2020,2020,January,14381,90,264
Idaho,2/1/2020,2020,February,14366,90,258
Idaho,3/1/2020,2020,March,14428,90,250
Idaho,4/1/2020,2020,April,14378,90,250
Idaho,5/1/2020,2020,May,14382,91,259
Idaho,6/1/2020,2020,June,14424,89,253
Idaho,7/1/2020,2020,July,14703,89,271
Idaho,8/1/2020,2020,August,15028,89,280
Idaho,9/1/2020,2020,September,15246,88,281
Idaho,10/1/2020,2020,October,15514,88,280
Idaho,11/1/2020,2020,November,16048,89,278
Idaho,12/1/2020,2020,December,16468,89,280
Idaho,1/1/2021,2021,January,16740,90,284
Idaho,2/1/2021,2021,February,16750,90,279
Idaho,3/1/2021,2021,March,16778,90,276
Idaho,4/1/2021,2021,April,16877,91,290
Idaho,5/1/2021,2021,May,16983,91,298
Idaho,6/1/2021,2021,June,17073,91,313
Idaho,7/1/2021,2021,July,17083,91,319
Idaho,8/1/2021,2021,August,17136,92,325
Idaho,9/1/2021,2021,September,17753,94,334
Idaho,10/1/2021,2021,October,18397,93,338
Idaho,11/1/2021,2021,November,18405,94,347
Idaho,12/1/2021,2021,December,18363,94,345
Idaho,1/1/2022,2022,January,18571,95,361
Idaho,2/1/2022,2022,February,18818,95,362
Idaho,3/1/2022,2022,March,18849,95,376
Idaho,4/1/2022,2022,April,18871,95,372
Idaho,5/1/2022,2022,May,18776,95,355
Idaho,6/1/2022,2022,June,18878,95,353
Idaho,7/1/2022,2022,July,18963,96,349
Idaho,8/1/2022,2022,August,18847,95,356
Idaho,9/1/2022,2022,September,18160,95,354
Idaho,10/1/2022,2022,October,17447,95,354
Idaho,11/1/2022,2022,November,17170,95,350
Idaho,12/1/2022,2022,December,17083,96,362
Idaho,1/1/2023,2023,January,16814,96,349
Idaho,2/1/2023,2023,February,16588,96,369
Idaho,3/1/2023,2023,March,16619,96,366
Idaho,4/1/2023,2023,April,16702,96,373
Idaho,5/1/2023,2023,May,16846,97,383
Idaho,6/1/2023,2023,June,16742,97,380
Idaho,7/1/2023,2023,July,16626,98,378
Idaho,8/1/2023,2023,August,16594,98,368
Idaho,9/1/2023,2023,September,16601,98,369
Idaho,10/1/2023,2023,October,16624,97,374
Idaho,11/1/2023,2023,November,16560,97,379
Idaho,12/1/2023,2023,December,16493,97,360
Illinois,1/1/2015,2015,January,103054,90,1652
Illinois,2/1/2015,2015,February,103174,90,1657
Illinois,3/1/2015,2015,March,103679,90,1688
Illinois,4/1/2015,2015,April,104256,91,1735
Illinois,5/1/2015,2015,May,104525,91,1782
Illinois,6/1/2015,2015,June,104648,91,1766
Illinois,7/1/2015,2015,July,104977,91,1761
Illinois,8/1/2015,2015,August,105266,91,1793
Illinois,9/1/2015,2015,September,105207,91,1813
Illinois,10/1/2015,2015,October,105465,92,1847
Illinois,11/1/2015,2015,November,105252,92,1860
Illinois,12/1/2015,2015,December,103953,92,1864
Illinois,1/1/2016,2016,January,103132,93,1893
Illinois,2/1/2016,2016,February,103656,93,1958
Illinois,3/1/2016,2016,March,103543,93,2025
Illinois,4/1/2016,2016,April,103291,94,2097
Illinois,5/1/2016,2016,May,103228,94,2129
Illinois,6/1/2016,2016,June,103275,95,2213
Illinois,7/1/2016,2016,July,103249,95,2261
Illinois,8/1/2016,2016,August,103292,95,2275
Illinois,9/1/2016,2016,September,103368,96,2319
Illinois,10/1/2016,2016,October,103256,96,2297
Illinois,11/1/2016,2016,November,103309,96,2333
Illinois,12/1/2016,2016,December,104091,96,2427
Illinois,1/1/2017,2017,January,104762,96,2524
Illinois,2/1/2017,2017,February,104986,96,2553
Illinois,3/1/2017,2017,March,105376,96,2543
Illinois,4/1/2017,2017,April,105559,96,2513
Illinois,5/1/2017,2017,May,105625,95,2473
Illinois,6/1/2017,2017,June,105673,95,2462
Illinois,7/1/2017,2017,July,105607,95,2486
Illinois,8/1/2017,2017,August,105639,95,2560
Illinois,9/1/2017,2017,September,105968,95,2650
Illinois,10/1/2017,2017,October,105958,95,2714
Illinois,11/1/2017,2017,November,106309,95,2781
Illinois,12/1/2017,2017,December,106635,95,2765
Illinois,1/1/2018,2018,January,107751,95,2759
Illinois,2/1/2018,2018,February,107649,95,2745
Illinois,3/1/2018,2018,March,107323,95,2766
Illinois,4/1/2018,2018,April,107676,95,2800
Illinois,5/1/2018,2018,May,107671,96,2852
Illinois,6/1/2018,2018,June,107624,96,2860
Illinois,7/1/2018,2018,July,107748,96,2885
Illinois,8/1/2018,2018,August,107603,97,2843
Illinois,9/1/2018,2018,September,107523,97,2774
Illinois,10/1/2018,2018,October,107784,97,2786
Illinois,11/1/2018,2018,November,107691,97,2724
Illinois,12/1/2018,2018,December,106880,97,2732
Illinois,1/1/2019,2019,January,105303,97,2687
Illinois,2/1/2019,2019,February,105106,97,2653
Illinois,3/1/2019,2019,March,105185,97,2624
Illinois,4/1/2019,2019,April,104812,97,2588
Illinois,5/1/2019,2019,May,105090,97,2623
Illinois,6/1/2019,2019,June,105278,97,2632
Illinois,7/1/2019,2019,July,105232,97,2605
Illinois,8/1/2019,2019,August,105364,97,2655
Illinois,9/1/2019,2019,September,105248,97,2687
Illinois,10/1/2019,2019,October,105410,97,2660
Illinois,11/1/2019,2019,November,105604,97,2719
Illinois,12/1/2019,2019,December,105820,98,2775
Illinois,1/1/2020,2020,January,106145,98,2840
Illinois,2/1/2020,2020,February,106656,98,2939
Illinois,3/1/2020,2020,March,107420,98,3019
Illinois,4/1/2020,2020,April,111215,98,3160
Illinois,5/1/2020,2020,May,114572,98,3295
Illinois,6/1/2020,2020,June,116010,98,3369
Illinois,7/1/2020,2020,July,116938,98,3443
Illinois,8/1/2020,2020,August,118074,98,3484
Illinois,9/1/2020,2020,September,118957,98,3521
Illinois,10/1/2020,2020,October,120151,98,3538
Illinois,11/1/2020,2020,November,124035,98,3577
Illinois,12/1/2020,2020,December,128733,98,3531
Illinois,1/1/2021,2021,January,130875,98,3516
Illinois,2/1/2021,2021,February,131458,98,3478
Illinois,3/1/2021,2021,March,130801,98,3512
Illinois,4/1/2021,2021,April,127766,98,3532
Illinois,5/1/2021,2021,May,125018,98,3442
Illinois,6/1/2021,2021,June,124198,98,3474
Illinois,7/1/2021,2021,July,124107,98,3536
Illinois,8/1/2021,2021,August,124455,98,3576
Illinois,9/1/2021,2021,September,125286,98,3593
Illinois,10/1/2021,2021,October,125270,98,3674
Illinois,11/1/2021,2021,November,122845,98,3708
Illinois,12/1/2021,2021,December,120967,98,3786
Illinois,1/1/2022,2022,January,123508,98,3903
Illinois,2/1/2022,2022,February,123856,98,3967
Illinois,3/1/2022,2022,March,123900,98,3969
Illinois,4/1/2022,2022,April,123418,98,3918
Illinois,5/1/2022,2022,May,123120,98,3928
Illinois,6/1/2022,2022,June,123140,98,3892
Illinois,7/1/2022,2022,July,123177,98,3830
Illinois,8/1/2022,2022,August,122623,98,3818
Illinois,9/1/2022,2022,September,121554,98,3821
Illinois,10/1/2022,2022,October,121149,98,3809
Illinois,11/1/2022,2022,November,120671,98,3847
Illinois,12/1/2022,2022,December,119471,98,3863
Illinois,1/1/2023,2023,January,115137,98,3801
Illinois,2/1/2023,2023,February,113806,99,3792
Illinois,3/1/2023,2023,March,113767,99,3806
Illinois,4/1/2023,2023,April,113859,99,3808
Illinois,5/1/2023,2023,May,113795,99,3821
Illinois,6/1/2023,2023,June,113419,99,3832
Illinois,7/1/2023,2023,July,112864,99,3788
Illinois,8/1/2023,2023,August,112335,99,3774
Illinois,9/1/2023,2023,September,112128,99,3737
Illinois,10/1/2023,2023,October,111378,99,3713
Illinois,11/1/2023,2023,November,110976,99,3615
Illinois,12/1/2023,2023,December,110407,99,3518
Indiana,1/1/2015,2015,January,62174,49,1162
Indiana,2/1/2015,2015,February,62377,50,1151
Indiana,3/1/2015,2015,March,62886,50,1193
Indiana,4/1/2015,2015,April,63354,51,1208
Indiana,5/1/2015,2015,May,63491,51,1203
Indiana,6/1/2015,2015,June,63517,50,1217
Indiana,7/1/2015,2015,July,63570,50,1207
Indiana,8/1/2015,2015,August,63694,50,1221
Indiana,9/1/2015,2015,September,63837,49,1210
Indiana,10/1/2015,2015,October,63829,51,1205
Indiana,11/1/2015,2015,November,63655,51,1218
Indiana,12/1/2015,2015,December,63255,51,1232
Indiana,1/1/2016,2016,January,62610,52,1228
Indiana,2/1/2016,2016,February,62863,53,1259
Indiana,3/1/2016,2016,March,62968,54,1264
Indiana,4/1/2016,2016,April,62811,55,1285
Indiana,5/1/2016,2016,May,62632,56,1321
Indiana,6/1/2016,2016,June,62648,58,1354
Indiana,7/1/2016,2016,July,62795,58,1383
Indiana,8/1/2016,2016,August,62933,60,1421
Indiana,9/1/2016,2016,September,62891,60,1434
Indiana,10/1/2016,2016,October,63185,60,1441
Indiana,11/1/2016,2016,November,63580,62,1469
Indiana,12/1/2016,2016,December,64051,63,1506
Indiana,1/1/2017,2017,January,64506,65,1576
Indiana,2/1/2017,2017,February,64783,66,1629
Indiana,3/1/2017,2017,March,65084,68,1664
Indiana,4/1/2017,2017,April,65321,67,1700
Indiana,5/1/2017,2017,May,65558,68,1721
Indiana,6/1/2017,2017,June,65867,70,1720
Indiana,7/1/2017,2017,July,65911,72,1777
Indiana,8/1/2017,2017,August,65909,73,1762
Indiana,9/1/2017,2017,September,66057,75,1802
Indiana,10/1/2017,2017,October,66020,77,1842
Indiana,11/1/2017,2017,November,66004,79,1861
Indiana,12/1/2017,2017,December,66053,80,1835
Indiana,1/1/2018,2018,January,66625,81,1808
Indiana,2/1/2018,2018,February,66501,82,1757
Indiana,3/1/2018,2018,March,66198,83,1736
Indiana,4/1/2018,2018,April,66187,85,1716
Indiana,5/1/2018,2018,May,66222,86,1699
Indiana,6/1/2018,2018,June,66095,88,1696
Indiana,7/1/2018,2018,July,66119,88,1679
Indiana,8/1/2018,2018,August,66226,88,1680
Indiana,9/1/2018,2018,September,66254,88,1649
Indiana,10/1/2018,2018,October,66320,89,1639
Indiana,11/1/2018,2018,November,66327,89,1605
Indiana,12/1/2018,2018,December,66226,89,1612
Indiana,1/1/2019,2019,January,65295,90,1591
Indiana,2/1/2019,2019,February,65261,90,1592
Indiana,3/1/2019,2019,March,65394,91,1610
Indiana,4/1/2019,2019,April,65410,91,1598
Indiana,5/1/2019,2019,May,65683,92,1612
Indiana,6/1/2019,2019,June,65895,92,1610
Indiana,7/1/2019,2019,July,65968,93,1623
Indiana,8/1/2019,2019,August,65932,94,1628
Indiana,9/1/2019,2019,September,66021,95,1637
Indiana,10/1/2019,2019,October,66205,95,1661
Indiana,11/1/2019,2019,November,66420,96,1680
Indiana,12/1/2019,2019,December,66516,97,1704
Indiana,1/1/2020,2020,January,66899,97,1752
Indiana,2/1/2020,2020,February,67310,98,1790
Indiana,3/1/2020,2020,March,67665,97,1798
Indiana,4/1/2020,2020,April,68929,98,1878
Indiana,5/1/2020,2020,May,69942,98,1986
Indiana,6/1/2020,2020,June,70641,98,2043
Indiana,7/1/2020,2020,July,71360,98,2091
Indiana,8/1/2020,2020,August,72103,98,2124
Indiana,9/1/2020,2020,September,72759,98,2160
Indiana,10/1/2020,2020,October,73820,98,2186
Indiana,11/1/2020,2020,November,76079,98,2215
Indiana,12/1/2020,2020,December,79145,97,2267
Indiana,1/1/2021,2021,January,81015,97,2333
Indiana,2/1/2021,2021,February,81187,97,2354
Indiana,3/1/2021,2021,March,80840,97,2430
Indiana,4/1/2021,2021,April,79885,97,2483
Indiana,5/1/2021,2021,May,79145,97,2473
Indiana,6/1/2021,2021,June,78949,97,2488
Indiana,7/1/2021,2021,July,78759,97,2508
Indiana,8/1/2021,2021,August,79287,97,2574
Indiana,9/1/2021,2021,September,80628,97,2663
Indiana,10/1/2021,2021,October,81051,97,2684
Indiana,11/1/2021,2021,November,80296,97,2771
Indiana,12/1/2021,2021,December,79352,97,2789
Indiana,1/1/2022,2022,January,79989,97,2791
Indiana,2/1/2022,2022,February,80726,96,2869
Indiana,3/1/2022,2022,March,80936,97,2863
Indiana,4/1/2022,2022,April,80766,97,2792
Indiana,5/1/2022,2022,May,80581,96,2751
Indiana,6/1/2022,2022,June,80513,96,2747
Indiana,7/1/2022,2022,July,80752,96,2769
Indiana,8/1/2022,2022,August,80339,96,2766
Indiana,9/1/2022,2022,September,78921,97,2711
Indiana,10/1/2022,2022,October,78123,97,2734
Indiana,11/1/2022,2022,November,77088,96,2673
Indiana,12/1/2022,2022,December,76091,97,2666
Indiana,1/1/2023,2023,January,73752,97,2629
Indiana,2/1/2023,2023,February,72490,97,2555
Indiana,3/1/2023,2023,March,72429,97,2507
Indiana,4/1/2023,2023,April,72613,97,2507
Indiana,5/1/2023,2023,May,72729,97,2495
Indiana,6/1/2023,2023,June,72619,97,2456
Indiana,7/1/2023,2023,July,72120,96,2403
Indiana,8/1/2023,2023,August,71702,96,2376
Indiana,9/1/2023,2023,September,71491,96,2339
Indiana,10/1/2023,2023,October,71107,96,2270
Indiana,11/1/2023,2023,November,70972,96,2244
Indiana,12/1/2023,2023,December,70374,96,2190
Iowa,1/1/2015,2015,January,29177,93,274
Iowa,2/1/2015,2015,February,29203,93,274
Iowa,3/1/2015,2015,March,29380,93,272
Iowa,4/1/2015,2015,April,29412,93,265
Iowa,5/1/2015,2015,May,29462,91,277
Iowa,6/1/2015,2015,June,29533,91,289
Iowa,7/1/2015,2015,July,29649,91,298
Iowa,8/1/2015,2015,August,29667,91,296
Iowa,9/1/2015,2015,September,29678,92,311
Iowa,10/1/2015,2015,October,29692,92,307
Iowa,11/1/2015,2015,November,29599,91,308
Iowa,12/1/2015,2015,December,29291,91,300
Iowa,1/1/2016,2016,January,29031,90,303
Iowa,2/1/2016,2016,February,29156,90,304
Iowa,3/1/2016,2016,March,28911,89,309
Iowa,4/1/2016,2016,April,28908,90,316
Iowa,5/1/2016,2016,May,28909,90,318
Iowa,6/1/2016,2016,June,28863,91,310
Iowa,7/1/2016,2016,July,28746,91,304
Iowa,8/1/2016,2016,August,28760,91,309
Iowa,9/1/2016,2016,September,28822,92,306
Iowa,10/1/2016,2016,October,28956,90,313
Iowa,11/1/2016,2016,November,29018,92,319
Iowa,12/1/2016,2016,December,29318,92,314
Iowa,1/1/2017,2017,January,29622,93,325
Iowa,2/1/2017,2017,February,29703,93,330
Iowa,3/1/2017,2017,March,29945,94,330
Iowa,4/1/2017,2017,April,29999,93,319
Iowa,5/1/2017,2017,May,30121,94,322
Iowa,6/1/2017,2017,June,30213,94,332
Iowa,7/1/2017,2017,July,30210,94,334
Iowa,8/1/2017,2017,August,30109,95,338
Iowa,9/1/2017,2017,September,30122,94,334
Iowa,10/1/2017,2017,October,30135,95,338
Iowa,11/1/2017,2017,November,30220,95,340
Iowa,12/1/2017,2017,December,30242,95,341
Iowa,1/1/2018,2018,January,30144,96,336
Iowa,2/1/2018,2018,February,30192,95,331
Iowa,3/1/2018,2018,March,30108,95,326
Iowa,4/1/2018,2018,April,30146,95,325
Iowa,5/1/2018,2018,May,30068,95,312
Iowa,6/1/2018,2018,June,30120,95,307
Iowa,7/1/2018,2018,July,30185,95,305
Iowa,8/1/2018,2018,August,30289,95,294
Iowa,9/1/2018,2018,September,30229,95,299
Iowa,10/1/2018,2018,October,30337,95,289
Iowa,11/1/2018,2018,November,30307,94,280
Iowa,12/1/2018,2018,December,30190,94,277
Iowa,1/1/2019,2019,January,30029,94,278
Iowa,2/1/2019,2019,February,29922,94,277
Iowa,3/1/2019,2019,March,29989,93,277
Iowa,4/1/2019,2019,April,29961,93,286
Iowa,5/1/2019,2019,May,30012,93,287
Iowa,6/1/2019,2019,June,30053,94,283
Iowa,7/1/2019,2019,July,30264,94,297
Iowa,8/1/2019,2019,August,30321,94,306
Iowa,9/1/2019,2019,September,30419,95,316
Iowa,10/1/2019,2019,October,30470,95,322
Iowa,11/1/2019,2019,November,30533,95,336
Iowa,12/1/2019,2019,December,30669,95,350
Iowa,1/1/2020,2020,January,30757,96,346
Iowa,2/1/2020,2020,February,30901,96,363
Iowa,3/1/2020,2020,March,30905,97,374
Iowa,4/1/2020,2020,April,31062,96,389
Iowa,5/1/2020,2020,May,31500,95,398
Iowa,6/1/2020,2020,June,31583,96,417
Iowa,7/1/2020,2020,July,31757,96,413
